Year,Decade,Song Title,Artist,Soloist,Saxophone Type
1981,1980s,Hard To Say,Dan Fogelberg,Tom Scott,Tenor
1981,1980s,He Can't Love You,Michael Stanley Band,Clarence Clemons,Tenor
1981,1980s,How 'Bout Us,Champaign,Kenny Soderblom,Alto
1981,1980s,I Can Take Care Of Myself,Billy Vera,Lon Price,Tenor
1981,1980s,I Don't Need You,Kenny Rogers,“Rev” Dave Boruff,Alto
1981,1980s,It Must Be Love,Madness,Lee “Kix” Thompson,Tenor
1981,1980s,Jealous Guy,Roxy Music,Andy Mackay,Alto
1981,1980s,Just The Two Of Us,Grover Washington Jr. with Bill Withers,Grover Washington Jr.,Tenor
1981,1980s,Multiplication,Showaddywaddy,Unknown,Tenor
1981,1980s,One Step Closer,Doobie Brothers,Cornelius Bumpus,Tenor
1981,1980s,Ramrod,Bruce Springsteen,Clarence Clemens,Tenor
1981,1980s,Say Goodbye To Hollywood,Billy Joel,Richie Cannata,Tenor
1981,1980s,There's No Gettin' Over Me,Ronnie Milsap,Ronald Eades,Alto
1981,1980s,Touch Me When We're Dancing,Carpenters,Tom Scott,Tenor
1981,1980s,Uk (#18 Ire) All Out To Get You,The Beat Saxa,Unknown,Tenor
1981,1980s,Uk (#18 Ire) Drowning,The Beat,Saxa,Tenor
1981,1980s,We're In This Love Together,Al Jarreau,Lon Price,Alto
1981,1980s,Why Me,Styx,Steve Eisen,Alto
1982,1980s,Waiting On A Friend,Rolling Stones,Sonny Rollins,Tenor
1982,1980s,Intuition,Linx,Chris Hunter,Soprano
1982,1980s,The One You Love,Glen Frey,Ernie Watts,Tenor
1982,1980s,Fool If You Think It's Over,Elkie Brooks,Gary Barnacle,Tenor
1982,1980s,He Got You,Ronnie Milsap,Unknown,Alto
1982,1980s,Bobbie Sue,Oak Ridge Boys,Harvey Thompson,Tenor
1982,1980s,Only The Lonely,Motels,Marty Jourard,Alto
1982,1980s,Find Another Fool,Quarterflash,Rindy Ross,Alto
1982,1980s,Same Old Lang Syne,Dan Fogelberg,Michael Brecker,Soprano
1982,1980s,'Til You're Gone,Barbara Mandrell,Ron Eades,Alto
1982,1980s,The Big Bean,Pigbag,Ollie Moore,Tenor
1982,1980s,The One Thing,Inxs,Kirk Pengilly,Tenor
1982,1980s,Love Plus One,Haircut One Hundred,Phil Smith,Soprano
1982,1980s,The Other Woman,Ray Parker Jr.,Charles Green,Alto
1982,1980s,Do It To The Music,Raw Silk,Del Franklin,Tenor
1982,1980s,I'LL BE SATISFIED,Shakin Stevens,Ray Beavis,Tenor
1982,1980s,Avalon,Roxy Music,Andy Mackay,Alto
1982,1980s,Bad To The Bone,George Thorogood,Hank “Hurricane” Carter,Tenor
1982,1980s,Big Fun,Kool & The Gang,Dennis “Dee Tee” Thomas,Alto
1982,1980s,Crazy,Supertramp,John Helliwell,Alto
1982,1980s,Daddy's Home,Cliff Richard,Howie Casey,Tenor
1982,1980s,Forget Me Knots,Patrice Rushen,Gerald Albright,Tenor
1982,1980s,Going To A Go-Go,The Rolling Stones,Ernie Watts,Tenor
1982,1980s,Hard To Say,Dan Fogelberg,Tom Scott,Tenor
1982,1980s,Harden My Heart,Quarterflash,Rindy Ross,Alto
1982,1980s,Heart To Heart,Kenny Loggins,David Sanborn,Alto
1982,1980s,It's Raining Again,Supertramp,John Helliwell,Tenor
1982,1980s,Let It Be Me,Willie Nelson,Jon Marett,Alto
1982,1980s,Make Believe,Toto,Jon Smith,Tenor
1982,1980s,Maneater,Daryl Hall & John Oates,Charlie Dechant,Tenor
1982,1980s,Never Say Never,Romeo Void,Benjamin Bossi,Tenor
1982,1980s,Our House,Madness,Lee “Kix” Thompson,Tenor
1982,1980s,Out Of Work,Gary “U.S.” Bonds,Clarence Clemons,Tenor
1982,1980s,Personally,Karla Bonoff,Phil Kenzie,Alto
1982,1980s,Pledge Pin,Robert Plant,Raphael Ravenscroft,Alto
1982,1980s,Poison Arrow,Abc,Stephen Singleton,Alto
1982,1980s,Should I Do It,Pointer Sisters,Cool T,Tenor
1982,1980s,Stand Down Margaret,The Beat,Saxa,Tenor
1982,1980s,Take Me To Heart,Quarterflash,Rindy Ross,Alto
1982,1980s,Temporary Heartache,John Swan,Geoff Oakes,Baritone
1982,1980s,Uk (#6 Ire) Nice To Talk To,The Beat,Saxa,Tenor
1982,1980s,What About Me,Moving Pictures,Andrew Thompson,Alto
1982,1980s,Who Can It Be Now?,Men At Work,Greg Ham,Tenor
1983,1980s,What About Me,Moving Pictures,Andrew Thompson,Alto
1983,1980s,Fool For Your Love,Mickey Gilley,Don “Dill” Jackson,Tenor
1983,1980s,One On One,Daryl Hall & John Oates,Charlie Dechant,Tenor
1983,1980s,CRY JUST A LITTLE BIT,Shakin Stevens,Ray Beavis,Tenor
1983,1980s,(Nz) Maxine,Sharon O'Neill,Tom Scott,Alto
1983,1980s,Africa,Toto,Jim Horn,Tenor
1983,1980s,All Time High,Rita Coolidge,Unknown,Alto
1983,1980s,Baby Jane,Rod Stewart,Jimmy Zavala,Alto
1983,1980s,Garden Party,Mezzoforte,Kristinn Svavarsson,Tenor
1983,1980s,Gold,Spandau Ballet,Steve Norman,Tenor
1983,1980s,Heart To Heart,Kenny Loggins,David Sanborn,Alto
1983,1980s,Human Touch,Rick Springfield,Richard Elliot,Tenor
1983,1980s,It Must Be Love,Madness,Lee “Kix” Thompson,Tenor
1983,1980s,Make Love Stay,Dan Fogelberg,Al Garth,Soprano
1983,1980s,Modern Love,David Bowie,Steve Elson,Baritone
1983,1980s,My Kind Of Lady,Supertramp,John Helliwell,Alto
1983,1980s,Our House,Madness,Lee “Kix” Thompson,Tenor
1983,1980s,Overkill,Men At Work,Greg Ham,Soprano
1983,1980s,Personally,Ronnie Mcdowell,Unknown,Alto
1983,1980s,Poison Arrow,Abc,Stephen Singleton,Alto
1983,1980s,Rio,Duran Duran,Andy Hamilton,Tenor
1983,1980s,She Works Hard For The Money,Donna Summer,Gary Herbig,Tenor
1983,1980s,Solid Bond In Your Heart,The Style Council,Chris Hunter,Tenor
1983,1980s,Sweet Harmony,The Beloved,Nigel Hitchcock,Alto
1983,1980s,Sweet Memory,Belle Stars,Miranda Joyce,Alto
1983,1980s,The Border,America,Raphael Ravenscroft,Alto
1983,1980s,Time (Clock Of The Heart),Culture Club,Steve Grainger,Tenor
1983,1980s,True,Spandau Ballet,Steve Norman,Tenor
1983,1980s,Uk (#9 Bel) (#2 Ire) (#12 Nl) Can't Get Used To Loosing You,The Beat,Saxa,Tenor
1983,1980s,Union Of The Snake,Duran Duran,Andy Hamilton,Soprano
1984,1980s,That's The Thing About Love,Don Williams,Jim Horn,Alto
1984,1980s,CARIBBEAN QUEEN,Billy Ocean,Vernon Jeffrey Smith,Tenor
1984,1980s,A Night In New York,Elbow Bones And The Racketeers,Unknown,Alto
1984,1980s,"Black Stations, White Stations",Martha & The Muffins,Michael Brecker,Tenor
1984,1980s,Don't Believe Anymore,Icehouse,Joe Camilleri,Tenor
1984,1980s,It's A Miracle,Culture Club,Steve Grainger,Tenor
1984,1980s,You've Got A Good Love Comin',Lee Greenwood,Lee Greenwood,Tenor
1984,1980s,Your Love Is King,Sade,Stuart Matthewman,Tenor
1984,1980s,Heart Of Rock & Roll,Huey Lewis & The News,Johnny Colla,Tenor
1984,1980s,Alibis,Sergio Mendes,Ernie Watts,Tenor
1984,1980s,Blue Jean,David Bowie,Unknown,Tenor
1984,1980s,Dance Hall Days,Wang Chung,Mel Collins,Alto
1984,1980s,Dancing In The Dark,Bruce Springsteen,Clarence Clemons,Tenor
1984,1980s,Don't Answer Me,Alan Parsons Project,Mel Collins,Tenor
1984,1980s,Don't Walk Away,Rick Springfield,Joel Peskin,Alto
1984,1980s,Get Out Of Your Lazy Bed,Matt Bianco,Ronnie Ross,Baritone
1984,1980s,Half A Minute,Matt Bianco,Ronnie Ross,Baritone
1984,1980s,Happy Ending,Joe Jackson featuring Elaine Caswell,Tony Aiello,Tenor
1984,1980s,"Hi, How Ya Doin'?",Barry Johnson,Kenny G,Tenor
1984,1980s,Mr. Solitaire,Animal Nightlife,Billy Chapman,Tenor
1984,1980s,Nelson Mandela,The Specials,Andy Aderinto,Tenor
1984,1980s,On The Dark Side,John Cafferty,Mike Antunes,Tenor
1984,1980s,Tender Years,John Cafferty,Mike Antunes,Tenor
1984,1980s,The Curly Shuffle,Jump 'n The Saddle,Tom Trinka,Tenor
1985,1980s,# 10 (Country) Don't Call It Love,Dolly Parton,CD credits include;,Alto
1985,1980s,I Believe,Tears For Fears,"William ""Will"" Owen Gregory",Alto
1985,1980s,I'm Goin' Down,Bruce Springsteen,Clarence Clemons,Tenor
1985,1980s,"LIPSTICK, POWDER AND PAINT",Shakin Stevens,Ray Beavis,Tenor
1985,1980s,Just A Gigolo/I Ain't Got Nobody,David Lee Roth,Edgar Winter,Sax Section
1985,1980s,Love Theme From St. Elmo's Fire,David Foster,“Rev” Dave Boruff,Alto
1985,1980s,Careless Whisper,WHAM! featuring GEORGE MICHAEL,Steve Gregory,Tenor
1985,1980s,Don't Stop The Dance,Bryan Ferry,David Sanborn,Alto
1985,1980s,Fortress Around Your Heart,Sting,Branford Marsalis,Soprano
1985,1980s,Freeway Of Love,Aretha Franklin,Clarence Clemons,Tenor
1985,1980s,Honor Bound,Earl Thomas Conley,Jim Horn,Alto
1985,1980s,Hurt,Juice Newton,Tom Scott,Tenor
1985,1980s,Hurts To Be In Love,Gino Vannelli,Tom Saviano,Alto
1985,1980s,I Can Dream About You,Dan Hartman,Unknown,Tenor
1985,1980s,Je Marche Seul (I Walk Alone),Jean-Jacques Goldman,Patrick Bourgoin,Tenor
1985,1980s,Keeping The Faith,Billy Joel,Sax/Horn Section Mark Riviera (,Alto
1985,1980s,Look At Little Sister,Stevie Ray Vaughan,Joe Sublett,Tenor
1985,1980s,Lost In The Fifties Tonight,Ronnie Milsap,Jim Horn,Tenor
1985,1980s,Love On The Rise,Kashif,Kenny G,Tenor
1985,1980s,Merry Christmas Everyone,Shakin Stevens,Ray Beavis,Tenor
1985,1980s,One More Night,Phil Collins,Donald Myrick,Alto
1985,1980s,One Of The Living,Tina Turner,Timmy Cappello,Tenor
1985,1980s,Rock And Roll Girls,John Fogerty,John Fogerty,Tenor
1985,1980s,Rockin' At Midnight,Honeydrippers,Keith Evans,Tenor
1985,1980s,Saving All My Love For You,Whitney Houston,Tom Scott,Tenor
1985,1980s,Smooth Operator,Sade,Stuart Matthewman,Tenor
1985,1980s,The Heat Is On,Glenn Frey,David Woodford,Tenor
1985,1980s,Tough All Over,John Cafferty,Mike Antunes,Tenor
1985,1980s,Who's Zoomin' Who,Aretha Franklin,Clarence Clemons,Tenor
1985,1980s,Would I Lie To You,Eurythmics,Martin Dobson,Tenor
1985,1980s,Yeh Yeh,Matt Bianco,Ronnie Ross,Baritone
1985,1980s,You Belong To The City,Glenn Frey,Bill Bergman,Alto
1986,1980s,Girls & Boys,Prince And The Revolution,Eric Leeds,Baritone
1986,1980s,Homecoming '63,Keith Whitley,Jim Horn,Tenor
1986,1980s,Fire In The Sky,Nitty Gritty Dirt Band,Al Garth,Alto
1986,1980s,Your Latest Trick,Dire Straits,Michael Brecker,Tenor
1986,1980s,Absolute Beginners,David Bowie,Unknown,Baritone
1986,1980s,Because I Love You,Shakin Stevens,Unknown,Soprano
1986,1980s,Breaking Up My Heart,Shakin Stevens,Ray Beavis,Tenor
1986,1980s,California Dreamin',Beach Boys,Unknown,Alto
1986,1980s,Captain Of Her Heart,Double,Christian Ostermeier,Soprano
1986,1980s,Danger Zone,Kenny Loggins,David Woodford,Tenor
1986,1980s,Digging Your Scene,Blow Monkeys,Neville Henry,Tenor
1986,1980s,French Kissin',Deborah Harry,Crispin Cioe,Alto
1986,1980s,Hello Darling,Tippa Irie,Unknown,Tenor
1986,1980s,Hip To Be Square,Huey Lewis & The News,Stephen “Doc” Kupka,Baritone
1986,1980s,How Will I Know,Whitney Houston,Premik Russell Tubbs,Tenor
1986,1980s,Is It A Crime,Sade,Stuart Matthewman,Tenor
1986,1980s,I'm Your Man,Wham,Andy Hamilton,Alto
1986,1980s,Mountains,Prince & The Revolution,Eric Leeds,Tenor
1986,1980s,Pretty In Pink,Psychedelic Furs,Unknown,Tenor
1986,1980s,Rock Me Amadeus,Falco,Unknown,Tenor
1986,1980s,Take Me Home Tonight,Eddie Money,Paul Hanson,Tenor
1986,1980s,Talk To Me,Stevie Nicks,Barney Wilen,Alto
1986,1980s,What Does It Take (To Win Your Love),Ellis Hall,Kenny G,Tenor
1987,1980s,WONDERFUL LIFE,Black,Martin Green,Alto
1987,1980s,CHINA IN YOUR HANDS,T'Pau,Gary Barnacle,Alto
1987,1980s,Don't Make Me Wait For Love,Lenny Williams,Kenny G,Tenor
1987,1980s,Walkin' A Broken Heart,Don Williams,Jim Horn,Tenor
1987,1980s,Running In The Family,Level 42,Krys Mach,Tenor
1987,1980s,At This Moment,Billy Vera & The Beaters,Jerry Peterson,Alto
1987,1980s,I Wanna Go Back,Eddie Money,Danny Hull,Alto
1987,1980s,Lonely In Love,Dan Fogelberg,Michael Brecker,Tenor
1987,1980s,Lost In Emotion,Lisa Lisa & Cult Jam,Sidney “Can't Get A Girl” Phillips,Alto
1987,1980s,One Heartbeat,Smokey Robinson,Kenny G,Alto
1987,1980s,Only In My Dreams,Debbie Gibson,V. Jeffrey Smith,Tenor
1987,1980s,Roadblock,Stock Aitken Waterman,Gary Barnacle,Alto
1987,1980s,Straight To The Heart,Crystal Gayle,Jim Horn,Tenor
1987,1980s,Walk The Dinosaur,Was,Unknown,Tenor
1987,1980s,You Got It All,Jets,Unknown,Tenor
1988,1980s,The Wanderer,Eddie Rabbitt,Joel Peskin,Tenor
1988,1980s,Roll With It,Steve Winwood,Andrew Love,Tenor
1988,1980s,Seasons Change,Expose,Steve Grove,Tenor
1988,1980s,Spy In The House Of Love,Was,David McMurray,Tenor
1988,1980s,(He's A) Shape In A Drape,Joe Jackson,Pete Thomas,Tenor
1988,1980s,", (#13 Uk) Dominion",The Sisters Of Mercy,Sampled,Tenor
1988,1980s,Do You Love Me,The Contours,Thomas “Beans” Bowles,Tenor
1988,1980s,Don't Blame It On That Girl,Matt Bianco,Ed Calle,Tenor
1988,1980s,Endless Summer Nights,Richard Marx,“Rev” Dave Boruff,Alto
1988,1980s,Fiesta,The Pogues,Jem Finer,Alto
1988,1980s,Foolish Beat,Debbie Gibson,V. Jeffrey Smith,Tenor
1988,1980s,Going Back To Cali,LL Cool J,Unknown,Tenor
1988,1980s,Got My Mind Set On You,George Harrison,Jim Horn,Tenor
1988,1980s,Hands To Heaven,Breathe,Jamie Talbot,Alto
1988,1980s,Hold On To The Nights,Richard Marx,Dave Koz,Alto
1988,1980s,Hungry Eyes,Eric Carmen,Gary Herbig,Tenor
1988,1980s,I'll Always Love You,Taylor Dayne,Richie Cannata,Tenor
1988,1980s,Kokomo,Beach Boys,Joel C. Peskin,Alto
1988,1980s,Like Dreamers Do,Mica Paris,Courtney Pine,Tenor
1988,1980s,She Wants To Dance With Me,Rick Astley,Phil Todd,Tenor
1988,1980s,She's Like The Wind,Patrick Swayze & Wendy Fraser,Gary Herbig,Tenor
1988,1980s,Small World (Part 1 & 2),Huey Lewis & The News,Stan Getz,Tenor
1988,1980s,Some Kind Of Lover,Jody Watley,Larry Schneider,Tenor
1988,1980s,Somewhere In My Heart,Aztec Camera,Soni Jonzun,Tenor
1988,1980s,The Lover In Me,Sheena Easton,Larry Williams,Alto
1988,1980s,True Love,Glenn Frey,Chris Mostert,Tenor
1988,1980s,Waiting For A Star To Fall,Boy Meets Girl,Andy Snitzer,Tenor
1988,1980s,What A Wonderful World,Louis Armstrong,Kenny G,Soprano
1989,1980s,Walk On,Reba McEntire,Joe McGlohon,Tenor
1989,1980s,Nineteen Forever,Joe Jackson,Tony Aiello,Tenor
1989,1980s,We've Saved The Best For Last,Smokey Robinson,Kenny G,Soprano
1989,1980s,Dreamin',Vanessa Williams,Ron Kerber,Tenor
1989,1980s,Cry,Waterfront,Molly Duncan,Tenor
1989,1980s,With Every Beat Of My Heart,Taylor Dayne,Joel C. Peskin,Tenor
1989,1980s,Baby Come To Me,Regina Belle,Premik Russell Tubbs,Soprano
1989,1980s,End Of The Innocence,Don Henley,Wayne Shorter,Soprano
1989,1980s,Get On Your Feet,Gloria Estefan,Mike Scaglione,Alto
1989,1980s,Iko Iko,The Belle Stars,Miranda Joyce And Clare Hirst,Sax Section
1989,1980s,Nervous,Matt Bianco,Jamie Talbot,Tenor
1989,1980s,Pacific 202,808 State,Graham Massey,Soprano
1989,1980s,Soul Provider,Michael Bolton,Kenny G,Tenor
1989,1980s,The Best,Tina Turner,Edgar Winter,Tenor
1989,1980s,Walk The Dinosaur,Was,Dave McMurray,Tenor
1990,1990s,Fallen,Lauren Wood,David Woodford,Tenor
1990,1990s,This Old Heart Of Mine,Rod Stewart With Ronald Isley,Andrew Love,Tenor
1990,1990s,Georgia,Michael Bolton,Kenny G,Tenor
1990,1990s,Everything,Jody Watley,Larry Williams,Tenor
1990,1990s,Was It Nothing At All,Michael Damian,Richard Elliot,Tenor
1990,1990s,Englishman In New York,—Sting,Branford Marsalis,Soprano
1990,1990s,Girl I Used To Know,Brother Beyond,Philip Todd,Tenor
1990,1990s,Heart Of Stone,Taylor Dayne,Richie Cannata,Tenor
1990,1990s,I'll Be Your Everything,Tommy Page,Bob Gay,Soprano
1990,1990s,"My, My, My",Johnny Gill,Kenny G,Soprano
1990,1990s,Silhouettes (Live),Cliff Richard,Ray Beavis,Tenor
1991,1990s,THE WHOLE OF THE MOON,The Waterboys,Anthony Thistlewaite,Tenor
1991,1990s,Holding On,Beverly Craven,Frank Mead,Alto
1991,1990s,All The Man That I Need,Whitney Houston,Kenny G,Tenor
1991,1990s,Do The Bartman,Simpsons,Unknown,Tenor
1991,1990s,Everything Changes,Kathy Troccoli,Richie Cannata,Tenor
1991,1990s,Gentle,Dino,Paul Taylor,Soprano
1991,1990s,I Wonder Why,Curtis Stigers,Unknown,Alto
1991,1990s,Keep Coming Back,Richard Marx,Steve Grove,Tenor
1991,1990s,Lily Was Here,David A. Stewart & Candy Dulfer,Candy Dulfer,Alto
1991,1990s,Love Is A Wonderful Thing,Michael Bolton,Marc Russo,Tenor
1991,1990s,Love On A Rooftop,Desmond Child,Chris Mostert,Tenor
1991,1990s,Shelter Me,Cinderella,Jay Davidson,Tenor
1991,1990s,Take It Back,Reba McEntire,Joe McGlohon,Tenor
1991,1990s,Unforgettable,"Natalie Cole with Nat ""King"" Cole",Pete Christlieb,Tenor
1991,1990s,Voices That Care,Kenny G,Kenny G,Soprano
1992,1990s,Breakin' My Heart (Pretty Brown Eyes),Mint Condition,Jeffrey Allen,Alto
1992,1990s,Change,Lisa Stansfield,Chris “Snake” Davis,Tenor
1992,1990s,I Love Your Smile,Shanice,Branford Marsalis,Tenor
1992,1990s,I Will Always Love You,Whitney Houston,Kirk Whalum,Tenor
1992,1990s,Iron Lion Zion,Bob Marley,Courtney Pine,Tenor
1992,1990s,Missing You Now,Michael Bolton,Kenny G,Soprano
1992,1990s,Unchain My Heart,Joe Cocker,Clarence Clemons,Tenor
1992,1990s,What Becomes Of The Brokenhearted,Paul Young,Unknown,Tenor
1993,1990s,Sade,Kiss Of Life,Stuart Matthewman,Baritone
1993,1990s,Independance,Lulu,Steve Beighton,Alto
1993,1990s,I Don't Wanna Fight,Tina Turner,Timmy Cappello,Tenor
1993,1990s,I'll Never Get Over You (Getting Over Me),Expose,Steve Groove A/K/A Euge Grove,Alto
1993,1990s,Romeo And Juliet,Dire Straits,Chris White,Alto
1993,1990s,Sweet Harmony,The Beloved,Nigel Hitchcock,Alto
1993,1990s,Tell Me What You Dream,Restless Heart,Warren Hill,Alto
1994,1990s,EVERYTHING CHANGES,Take That,Steve Beighton,Soprano
1994,1990s,One Night A Day,Garth Brooks,Jim Horn,Tenor
1994,1990s,"Baby, I Love Your Way",Big Mountain,Warren Hill,Alto
1994,1990s,Moving On Up,M People,Chris “Snake” Davis,Alto
1994,1990s,Why Haven't I Heard From You,Reba McEntire,Joe McGlohon,Tenor
1995,1990s,What Would You Say,Dave Matthews Band,LeRoi Moore,Alto
1995,1990s,Ants Marching,Dave Matthews Band,LeRoi Moore,Soprano
1996,1990s,"Fun, Fun, Fun",Status Quo With The Beach Boys,Gary Barnacle,Tenor
1996,1990s,Birmingham,Amanda Marshall,Louis Taylor,Soprano
1996,1990s,I Was Brought To My Senses,Sting,Branford Marsalis,Soprano
1996,1990s,Night To Remember,911,Steve Beighton,Tenor
1996,1990s,So Much To Say,Dave Matthews Band,LeRoi Moore,Baritone
1996,1990s,The Day We Find Love,911,Steve Beighton,Soprano
1996,1990s,The Moment,Kenny G,Kenny G,Soprano
1996,1990s,Too Much,Dave Matthews Band,LeRoi Moore,Baritone
1997,1990s,Sunshine Day,Matt Bianco,Unknown,Alto
1997,1990s,The Impression That I Get,The Mighty Mighty Bosstones,Kevin Lenear,Tenor
1998,1990s,I'll Be,Edwin McCain,Craig Shields,Tenor
1998,1990s,The City Is Mine,Jay-Z,Charles Edward Hugo A/K/A Chad Hugo,Soprano
1998,1990s,Who's Got The Hooch,Everything,Richard Bradley,Tenor
2001,2000s,Where Are You Going,Dave Matthews Band,LeRoi Moore,Soprano
2002,2000s,Work It Out,Beyonce,Chad Hugo,Alto
2004,2000s,Crabbuckit,K-Os,Christopher Plock,Tenor
2004,2000s,Mockingbird,Toby Keith and Krystal Keith,Mark Douthit,Tenor
2005,2000s,Get Right,Jennifer Lopez,Maceo Parker,Alto
2007,2000s,DESTINATION CALABRIA,Crystal Waters,Unknown,Unknown
2008,2000s,Pencil Full Of Lead,Paolo Nutini,Gavin Fitzjohn,Tenor
2008,2000s,It's Gonna Be Warm This Winter,Gabriella Cilmi,Unknown,Baritone
2011,2010s,Last Friday Night (T.G.I.F.),Katy Perry,Lenny Pickett,Tenor
2012,2010s,Dalinda,Alex Mica,Basasteanu Cosmin,Alto
2013,2010s,Punga,Klingande,Snake Davis,Alto
2014,2010s,Talk Is Cheap,Chet Faker,Unknown,Tenor
2014,2010s,Tarida,Henri Pfr With Stone Van Brooken,Unknown,Alto
2017,2010s,Bleachers,I Miss Those Days,Evan Smith,Tenor
2021,2020s,How Dare You Want More,Bleachers Evan Smith,Unknown,Tenor
